=== INVENTÁRIO DE SOFTWARE - AMDY (OMARCHY/ARCH) ===
Gerado em: Wed Jul  1 12:22:58 AM -03 2026
===================================================

[1. PACMAN OFFICIAL PACKAGES]
Origem: Pacman (Oficial) | Pacote: haskell-data-default-class | Versão: 0.1.2.2-2
Origem: Pacman (Oficial) | Pacote: haskell-data-default-instances-containers | Versão: 0.1.0.3-4
Origem: Pacman (Oficial) | Pacote: haskell-data-default-instances-dlist | Versão: 0.0.1.2-177
Origem: Pacman (Oficial) | Pacote: haskell-data-default-instances-old-locale | Versão: 0.0.1.2-2
Origem: Pacman (Oficial) | Pacote: haskell-data-fix | Versão: 0.3.4-192
Origem: Pacman (Oficial) | Pacote: haskell-dec | Versão: 0.0.6-2
Origem: Pacman (Oficial) | Pacote: haskell-digest | Versão: 0.0.2.1-2
Origem: Pacman (Oficial) | Pacote: haskell-distributive | Versão: 0.6.2.1-476
Origem: Pacman (Oficial) | Pacote: haskell-djot | Versão: 0.1.2.3-32
Origem: Pacman (Oficial) | Pacote: haskell-dlist | Versão: 1.0-427
Origem: Pacman (Oficial) | Pacote: haskell-doclayout | Versão: 0.5.0.1-9
Origem: Pacman (Oficial) | Pacote: haskell-doctemplates | Versão: 0.11.0.1-107
Origem: Pacman (Oficial) | Pacote: haskell-easy-file | Versão: 0.2.5-146
Origem: Pacman (Oficial) | Pacote: haskell-emojis | Versão: 0.1.4.1-107
Origem: Pacman (Oficial) | Pacote: haskell-erf | Versão: 2.0.0.0-27
Origem: Pacman (Oficial) | Pacote: haskell-fast-logger | Versão: 3.2.4-61
Origem: Pacman (Oficial) | Pacote: haskell-file-embed | Versão: 0.0.16.0-2
Origem: Pacman (Oficial) | Pacote: haskell-generically | Versão: 0.1.1-113
Origem: Pacman (Oficial) | Pacote: haskell-generics-sop | Versão: 0.5.1.4-1
Origem: Pacman (Oficial) | Pacote: haskell-glob | Versão: 0.10.2-242
Origem: Pacman (Oficial) | Pacote: haskell-gridtables | Versão: 0.1.1.0-44
Origem: Pacman (Oficial) | Pacote: haskell-haddock-library | Versão: 1.11.0-218
Origem: Pacman (Oficial) | Pacote: haskell-half | Versão: 0.3.3-92
Origem: Pacman (Oficial) | Pacote: haskell-hashable | Versão: 1.4.7.0-70
